start_min,range_min,window_min,sl_mode,sl_mult,tp_r,trend_filter,buffer_mult,direction,min_range_atr,max_range_atr,min_range_pct,max_range_pct,max_bars,symbol,train_trades,train_ret,train_dd,train_pf,train_wr,val_trades,val_ret,val_dd,val_pf,val_wr,all_trades,all_ret,all_dd,all_pf,all_wr,score
420,30,240,range,1.0,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,426,33.45685509175449,14.588945636828111,1.145437423713171,45.539906103286384,225,39.93249730468946,9.356575848836275,1.3204457603044732,48.0,651,86.74951015419272,14.588945636828111,1.2040486825085988,46.39016897081413,218.29459201629018
810,30,120,range,0.75,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,364,26.658337153705446,14.769307264973689,1.1366634313230717,40.934065934065934,199,43.04798572099664,6.821240756668637,1.3433349974910287,42.71356783919598,563,81.18220004608428,14.769307264973689,1.2113068785383836,41.56305506216697,218.2532149009574
420,30,120,range,1.25,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,419,17.129187582809834,16.556183226151955,1.0925007211208253,46.53937947494033,222,47.90414058911414,8.943976898083527,1.4112818990098444,50.0,641,73.23891827336628,16.556183226151955,1.1989832276035952,47.737909516380654,218.22184237156767
810,15,240,range,1.0,2.0,with,0.0,short,0.35,3.5,0,0.025,48,XAUUSD,94,10.19074810779137,9.216995492967897,1.2113943681884451,42.5531914893617,43,27.33476920636604,2.9701000000000026,2.4962136849428327,58.139534883720934,137,40.31113478982429,9.216995492967897,1.531230668144505,47.44525547445255,217.71999495265948
420,30,120,range,1.0,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,419,30.97163669227441,14.953947174564025,1.138496414351375,45.346062052505964,222,40.663737745358674,8.44098570589523,1.3310278923617709,48.1981981981982,641,84.22959955762491,14.953947174564025,1.2027822002368815,46.33385335413416,216.47338620650197
420,30,240,range,0.75,1.5,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,427,16.142310276746752,22.68946923720742,1.0750028121558561,41.68618266978923,225,50.71436996459477,9.123167192740297,1.3797905153973737,48.44444444444444,652,75.04315119592357,22.68946923720742,1.1720072277571585,44.01840490797546,216.36189700857102
810,15,120,range,0.75,2.0,with,0.0,short,0.35,3.5,0,0.025,48,XAUUSD,91,6.9036974995818845,9.004465010973826,1.1433714330985805,39.56043956043956,41,28.948980168059823,2.9701000000000133,2.505055562079834,56.09756097560976,132,37.851227687658515,9.004465010973826,1.4808649957791373,44.696969696969695,215.0021058185219
420,30,120,range,1.0,2.0,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,422,19.289582041522756,21.327382614911784,1.0904779451173314,40.99526066350711,222,47.536376569932216,10.668792111876527,1.3626758980833982,44.5945945945946,644,75.99552696947967,21.327382614911784,1.1793489087424947,42.2360248447205,212.3180274454895
810,15,240,range,1.25,2.0,with,0.0,short,0.35,3.5,0,0.025,48,XAUUSD,94,5.247331570032032,9.70271752289502,1.1218719695853192,42.5531914893617,43,27.352889403861024,2.9700999999999995,2.5989648126114786,60.46511627906976,137,34.03551777489786,9.70271752289502,1.4818515265022383,48.175182481751825,211.7800980019742
810,30,240,range,0.75,2.0,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,370,25.79455634052683,14.769307264973552,1.131517006954843,41.08108108108108,204,41.902147091668304,7.23529619169025,1.3280398490124399,42.15686274509804,574,78.50517637164567,14.769307264973552,1.2030326845263102,41.46341463414634,211.15342525361802
